# TOMBSTONES.tsv -- the ENFORCED resurrection-blocklist (S-2026-06-24L).
#
# WHY: engines kept getting un-tombstoned. GoldOrbRetrace was resurrected THREE times
# -- each time someone added a fresh "EDGE"/PF row and the registry's DEAD/UNAUDITED
# check went green, so a live-falsified engine traded again. cull_audit.py logs culls
# but NEVER blocks (exit 0 always). engine_registry blocks UNAUDITED/DEAD-but-enabled
# but a new AUDITED_CONFIGS row silences it. Nothing made a tombstone STICK.
#
# WHAT: this file is the hard blocklist. tools/tombstone_guard.py (wired into the mac
# canary) scans engine_init.hpp for `g_X.enabled = true` and FAILS the build if any
# tombstoned global here is enabled -- and it OVERRIDES AUDITED_CONFIGS, so adding a
# fresh EDGE row CANNOT resurrect a FORBIDDEN engine. The ONLY way to re-enable is to
# edit THIS file (a deliberate, reviewed, git-logged act) -- which is the friction.
#
# policy:
#   FORBIDDEN            -- dead at source / live-falsified. Do NOT re-enable. Ever.
#                           To revisit: remove the row here (logged) AND attach a FRESH
#                           faithful-TICK PF (not bar-replay, not a slice) in the commit.
#   FAITHFUL-BT-REQUIRED -- disabled bull-beta / marginal / un-gated. Re-enable ONLY with
#                           a faithful-tick BT row in AUDITED_CONFIGS + downgrade this row.
#
# Re-enabling ANY row below = canary FAIL. That is intentional. Resurrection must be loud.
#
# columns: global <TAB> engine <TAB> tombstone_date <TAB> basis <TAB> policy <TAB> reason
g_gold_orb_retrace	GoldOrbRetrace	2026-06-23	LIVE-FALSIFIED	FORBIDDEN	live ledger 7/7 losses net -$808 (all sub-spread TRAIL_STOP) = intraday-spot-cfd cost wall. UN-TOMBSTONED 3x already (15/16-06, 23-06). Faithful 1.86 was bull-only + bear-untestable. Commit a96d8e02. DO NOT un-tombstone a 4th time without a faithful-TICK edge.
g_gold_orb_london	GoldOrbLondon	2026-06-23	LIVE-FALSIFIED	FORBIDDEN	alias of GoldOrbRetrace (London session instance). Same cost-wall death. Commit a96d8e02.
g_adaptive_tf_gold	AdaptiveTfGold	2026-06-21	FAITHFUL	FORBIDDEN	real engine driven on gold ticks LOSES every state/regime (2022 bear all PF0.61; 2024-26 bull all PF0.77; TREND 0.49-0.80, RANGE 0.71-0.75). Dynamic-TF wrapper does not beat the spot-CFD cost floor -- timeframe was never the problem. Commit 3290af5d. Code kept for futures-data revival ONLY.
g_iswing_sp	IndexSwingSP	2026-06-02	LEDGER	FORBIDDEN	live shadow ledger net-negative (CULL_LEDGER 2026-06-02). Clock-based index swing, no edge.
g_iswing_nq	IndexSwingNQ	2026-06-02	LEDGER	FORBIDDEN	live shadow ledger net-negative (CULL_LEDGER 2026-06-02). Sibling of IndexSwingSP.
# DOWNGRADED 2026-07-08c (operator: "reinstate all winners, ensure gated correctly"): BOTH re-enable conditions met. (1) bear gate WIRED -- new Portfolio::entry_veto hook routes USTEC longs -> index_market_regime().long_blocked(), XAU longs -> gold_regime().long_blocked(); (2) both-regime faithful PASS -- survivor_gated_bt.cpp (REAL Portfolio, 2022-2026 XAU+USTEC H4 certified, veto seeded NDX-daily 2016+): veto + USTEC_RSI_N7 culled = PF1.70 +$11,065 n445, BEAR-2022 PF1.90 POSITIVE, both-WF-halves+, 2x-cost PF1.66. Kill-reason cell USTEC_4h_RSI_N7 stays culled (net-neg even gated AND dedup-starved the profitable ZMR sibling). SHADOW only. AUDITED_CONFIGS row SurvivorGated. Original row kept below for history:
# g_survivor	SurvivorPortfolio	2026-06-24	FAITHFUL	FAITHFUL-BT-REQUIRED	bull-only (faithful bear PF0.81; USTEC_RSI_N7 = bull-driver/bear-loss) AND was fully un-gated (self-enters, bypassed the bear chokepoint). Disabled commit 317baf00. Re-enable only with a both-regime faithful PF + a wired bear gate.
# DOWNGRADED 2026-07-08c (operator: "reinstate all winners, ensure gated correctly"): the cull rested on the freq_dd_frontier NEXT-OPEN PROXY; the REAL ConnorsRSI2Engine had never been driven on GER40 (same trap the ConnorsNas RETRACTION documented). Real-class faithful audit connors_ger_gate_audit.cpp (GER40 daily 2016-26 CERTIFIED, exact live config): deployed close>SMA200 gate = PF1.38@3pt n225 both-WF-halves+, 2x-cost PF1.33 holds, 2022 = +285pt n=4 ZERO bear DD -- the thin bear n IS the gate sitting the bear out (bull-gate-not-reject rule). REGIME_GATE=1 asym-veto tested + REJECTED on GER (fails both-halves at 2x-cost). SHADOW only. AUDITED_CONFIGS row ConnorsGerReal. Original row kept below for history:
# g_connors_ger	ConnorsGer	2026-06-24	FAITHFUL	FAITHFUL-BT-REQUIRED	bear-positivity rests on n=4 (by-design avoidance), not a real bear edge. Disabled commit e32e8bf2. Re-enable only with a faithful both-regime PF on adequate n.
# DOWNGRADED 2026-07-03 (operator: "redo the ndx and ensure its gated to bull"): re-enabled GATED (regime_bear_block=true), SHADOW only. Faithful bull-gated BT (index_turtle_d1_audit.cpp BULL_GATE=1) = net+$100 PF1.18 both-WF-halves+ (H1+21/H2+79), bear leg gated out -> all-6 standalone PASS; AUDITED_CONFIGS row NasTurtleD1Gated added same commit. Still bull-beta -> no live size until a fresh shadow record. Original cull row kept below for history:
